"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203851_at",-0.265722631664559,6.88436410160703,-4.79662590732726,8.50264055370677e-06,0.185855045869115,2.68876050015788
"202687_s_at",-0.382900753873306,4.04065307962842,-4.58407610374184,1.88156991214814e-05,0.185855045869115,2.08036930758957
"202688_at",-0.567617940079122,5.95730850905334,-4.43538246917248,3.24682485587931e-05,0.185855045869115,1.66216060191026
"217961_at",0.201605910048298,7.02045888998893,4.42791343833679,3.3362661377573e-05,0.185855045869115,1.64132529841811
"201930_at",0.265789411876021,7.17544444707716,4.33598104888021,4.6528283122316e-05,0.207357946562913,1.38627870645641
"213915_at",-0.198122960672866,4.05481518093555,-4.26006635786402,6.1074004933262e-05,0.226818675321313,1.17768625538181
"206583_at",0.279067127422927,6.08093000810885,4.14584892813097,9.15337494879178e-05,0.291378077119896,0.867446857627987
"207453_s_at",-0.248011015096265,5.58826283845947,-4.07967640482951,0.00011541024524944,0.30177694379733,0.689767242494821
"218346_s_at",0.211478319184701,8.23170401662103,4.06400732319219,0.00012188630319867,0.30177694379733,0.647922223250948
"204633_s_at",0.234094579663278,8.24478303646611,4.00698359123217,0.000148535853503715,0.330982442362328,0.496390109333505
"204661_at",-0.202469684582241,6.65512519936673,-3.89174884974784,0.00022047421680789,0.376350438499015,0.19387518898716
"210605_s_at",-0.186857100043619,7.15641456405503,-3.8815869138937,0.000228219107553217,0.376350438499015,0.167442136251993
"218979_at",0.189806854747219,5.68363301537098,3.862870486017,0.000243171020598047,0.376350438499015,0.118862959606981
"201166_s_at",0.157053007015136,9.84102956176121,3.85671248534463,0.000248292323042393,0.376350438499015,0.102909737051808
"209959_at",-0.334985618234529,6.71096519139622,-3.85075662095029,0.000253343651101074,0.376350438499015,0.087494414690946
"218411_s_at",0.144801683268002,5.1848323682349,3.80231564915799,0.000298242674201435,0.402451546820029,-0.0373590853432955
"212209_at",0.222076631932661,7.06043066550946,3.760775315424,0.000342715576999009,0.402451546820029,-0.143673052897005
"209493_at",0.332743513996981,8.22930018466158,3.71136804259553,0.000403868900438649,0.402451546820029,-0.269197692178664
"219015_s_at",-0.151463353572572,4.63898749247475,-3.69936459965146,0.000420226256836232,0.402451546820029,-0.299540235948721
"215159_s_at",-0.20051779098218,5.27886110872996,-3.6925359202938,0.000429811711784196,0.402451546820029,-0.316774882215702
"219282_s_at",-0.268493881680472,5.51362636587829,-3.69199123711681,0.000430585195295253,0.402451546820029,-0.318148741357822
"216375_s_at",-0.258293051289476,6.73049633922691,-3.672043548258,0.00045984374633148,0.402451546820029,-0.368376535911362
"218290_at",-0.118078542271294,7.81315530666753,-3.66034358152409,0.00047787594864294,0.402451546820029,-0.397758142858692
"210009_s_at",-0.166423864855711,6.01402158097437,-3.65151307202801,0.000491929451954329,0.402451546820029,-0.419895110511826
"205629_s_at",-0.23088064089428,6.0259437543872,-3.64903990353316,0.000495935413420528,0.402451546820029,-0.426089045162596
"215009_s_at",0.368650431368609,5.53225374682766,3.64247031742746,0.000506727964966247,0.402451546820029,-0.442529517781397
"201228_s_at",-0.152273008556275,6.06840034805531,-3.6047002279634,0.000573244164188209,0.402451546820029,-0.536688104072435
"203768_s_at",-0.270028294595754,6.51289867053151,-3.59198894220395,0.000597439133440612,0.402451546820029,-0.568237041810393
"211796_s_at",-0.298124403151527,5.6429867833502,-3.5919614413244,0.000597492516145165,0.402451546820029,-0.56830522129623
"208893_s_at",-0.324028341621589,6.91926957330269,-3.55495362977141,0.000673586207935157,0.402451546820029,-0.659752195543219
"219069_at",0.174502422717458,7.40988585030355,3.55459247119253,0.000674372253874669,0.402451546820029,-0.660641638606387
"219142_at",0.283001235976617,7.81484160916953,3.53896536263288,0.000709229967943692,0.402451546820029,-0.699071638023946
"218105_s_at",-0.180296161079727,8.02311488150979,-3.53591512464289,0.000716230245027999,0.402451546820029,-0.706560027192899
"57715_at",-0.158689991393156,6.4997121171578,-3.53519140526392,0.000717900769231112,0.402451546820029,-0.708336160010376
"205404_at",-0.352963765880276,6.57874564900097,-3.52692659864041,0.000737241919510038,0.402451546820029,-0.728602777054418
"204151_x_at",-0.265911963491758,8.41153656978651,-3.5265914506656,0.000738036557550321,0.402451546820029,-0.729423966279089
"206425_s_at",-0.138489751855249,4.02695221156708,-3.50917449678297,0.000780468242631416,0.402451546820029,-0.772029883579873
"207604_s_at",0.186616508010062,7.52675469870308,3.50162762079162,0.000799563156913515,0.402451546820029,-0.790448751383009
"209898_x_at",0.22906120134282,8.04845287271171,3.48796765191201,0.000835255894189139,0.402451546820029,-0.823721475097297
"216870_x_at",0.176752557774589,5.43186486014217,3.48677336141496,0.000838447223046482,0.402451546820029,-0.826626471706368
"215138_s_at",-0.165497295190222,7.34087240843571,-3.47619004421901,0.000867236349899474,0.402451546820029,-0.852340924494166
"209699_x_at",-0.256789638976995,7.84291471015182,-3.47576936310597,0.000868399818214096,0.402451546820029,-0.85336200198698
"203586_s_at",-0.160332063509875,7.90848234808368,-3.47031885484251,0.000883608366419806,0.402451546820029,-0.866584150710256
"209156_s_at",-0.2790445466427,4.8859761906864,-3.47014951951656,0.000884084876070293,0.402451546820029,-0.866994715743212
"209365_s_at",-0.205327811825497,7.22513215699257,-3.46958549951239,0.000885673783056756,0.402451546820029,-0.868362125796746
"205304_s_at",-0.174879572476007,6.05382108553889,-3.45660370655912,0.000923000519516954,0.402451546820029,-0.899794784693886
"210961_s_at",-0.169824497466045,3.95486992663696,-3.45444935190035,0.000929337149262908,0.402451546820029,-0.9050035920823
"221237_s_at",-0.179574612022067,7.09180084863882,-3.45303007680129,0.000933534139003211,0.402451546820029,-0.908433951390697
"202461_at",-0.146250612250921,7.53539118147206,-3.45251541636329,0.00093506048407036,0.402451546820029,-0.909677645631207
